epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,21117.5,1.22921,0.53611,1.34702,0.95429,0.89781,0.95807,0.62101,1.2817,0.55389,1.64652,0.006766,0.006766,0.006766
100,21330.2,1.22214,0.53504,1.34605,0.95344,0.89906,0.95803,0.62152,1.28199,0.55336,1.64678,0.006733,0.006733,0.006733
101,21543.9,1.21285,0.52988,1.34917,0.9547,0.89861,0.95815,0.62163,1.28158,0.55245,1.64658,0.0067,0.0067,0.0067
102,21757.7,1.22494,0.53668,1.34943,0.95371,0.8993,0.95826,0.62121,1.28232,0.55248,1.64732,0.006667,0.006667,0.006667
103,21970.7,1.22244,0.53527,1.34102,0.95415,0.89798,0.95793,0.62158,1.28251,0.55208,1.64757,0.006634,0.006634,0.006634
104,22183.9,1.22168,0.5323,1.34739,0.9526,0.90043,0.95786,0.62163,1.28237,0.5519,1.64755,0.006601,0.006601,0.006601
105,22396.9,1.21035,0.52782,1.33344,0.95189,0.90099,0.95779,0.62116,1.28245,0.55149,1.64767,0.006568,0.006568,0.006568
106,22610.3,1.22372,0.5342,1.34492,0.9525,0.90101,0.958,0.62182,1.28245,0.55132,1.64774,0.006535,0.006535,0.006535
107,22823.3,1.21364,0.52865,1.33302,0.95133,0.9018,0.95789,0.62152,1.28172,0.55089,1.64725,0.006502,0.006502,0.006502
108,23036.3,1.21338,0.52691,1.34055,0.95156,0.9015,0.95797,0.62155,1.28183,0.55096,1.6474,0.006469,0.006469,0.006469
109,23249.8,1.23293,0.5365,1.35866,0.95144,0.90155,0.95798,0.62235,1.28142,0.55071,1.6471,0.006436,0.006436,0.006436
110,23462.7,1.2162,0.53091,1.34837,0.95118,0.90183,0.9579,0.62246,1.28069,0.5503,1.64663,0.006403,0.006403,0.006403
111,23675.8,1.21687,0.52889,1.33654,0.95068,0.90326,0.95793,0.62302,1.28001,0.54982,1.6461,0.00637,0.00637,0.00637
112,23889.2,1.21735,0.52864,1.34123,0.9523,0.90172,0.95799,0.62363,1.27931,0.54923,1.64563,0.006337,0.006337,0.006337
113,24102.2,1.20757,0.52263,1.32783,0.9506,0.90403,0.95825,0.62402,1.27838,0.54894,1.64487,0.006304,0.006304,0.006304
114,24315.4,1.20153,0.52024,1.33627,0.95116,0.90321,0.95835,0.62485,1.27749,0.54793,1.64412,0.006271,0.006271,0.006271
115,24528.4,1.20645,0.52091,1.33816,0.95176,0.90352,0.95847,0.62501,1.27722,0.54775,1.64386,0.006238,0.006238,0.006238
116,24741.6,1.20337,0.51807,1.33623,0.95156,0.9038,0.95861,0.62513,1.27701,0.54747,1.64356,0.006205,0.006205,0.006205
117,24954.6,1.20076,0.52249,1.33192,0.95168,0.90393,0.95869,0.62538,1.27694,0.54735,1.64346,0.006172,0.006172,0.006172
118,25168,1.20588,0.52011,1.33518,0.95192,0.90376,0.95882,0.62541,1.27693,0.54746,1.64337,0.006139,0.006139,0.006139
119,25381,1.20721,0.52154,1.33338,0.95263,0.90355,0.95908,0.6256,1.27651,0.54734,1.64308,0.006106,0.006106,0.006106
120,25594.5,1.19977,0.5172,1.32588,0.95265,0.90386,0.95911,0.62559,1.27632,0.54718,1.64292,0.006073,0.006073,0.006073
121,25808.2,1.20009,0.51421,1.33615,0.95275,0.90352,0.95911,0.62579,1.27574,0.54709,1.64254,0.00604,0.00604,0.00604
122,26021,1.20419,0.51383,1.33152,0.95279,0.90438,0.95959,0.62637,1.27506,0.54632,1.64208,0.006007,0.006007,0.006007
123,26234.2,1.19459,0.51684,1.32531,0.953,0.90376,0.95935,0.62639,1.27476,0.546,1.64197,0.005974,0.005974,0.005974
124,26447.2,1.19981,0.51984,1.33691,0.95313,0.90376,0.9594,0.62666,1.27418,0.54552,1.6414,0.005941,0.005941,0.005941
125,26660.5,1.20163,0.51606,1.32369,0.95361,0.90386,0.95956,0.62681,1.27369,0.54487,1.64099,0.005908,0.005908,0.005908
126,26873,1.20212,0.51612,1.33433,0.95339,0.90421,0.95974,0.62707,1.27316,0.54432,1.64064,0.005875,0.005875,0.005875
127,27085.3,1.19768,0.52052,1.33671,0.95336,0.904,0.95939,0.62793,1.27243,0.54389,1.64004,0.005842,0.005842,0.005842
128,27298.3,1.19217,0.51205,1.32616,0.95243,0.9046,0.95938,0.62801,1.27236,0.54386,1.64004,0.005809,0.005809,0.005809
129,27511.3,1.19882,0.51603,1.32653,0.95267,0.90431,0.95938,0.62801,1.27226,0.54373,1.63978,0.005776,0.005776,0.005776
130,27724.3,1.20273,0.51893,1.33446,0.95247,0.90496,0.95936,0.62814,1.27218,0.54343,1.63982,0.005743,0.005743,0.005743
131,27937.1,1.19154,0.51657,1.32882,0.9522,0.904,0.95929,0.62862,1.27182,0.54344,1.63957,0.00571,0.00571,0.00571
132,28150.2,1.19649,0.51546,1.33488,0.95337,0.90383,0.95947,0.62871,1.27133,0.54297,1.6392,0.005677,0.005677,0.005677
